Valor,Bairro,N_quartos,N_banheiros,Area
790000.0,Saúde,4.0,4.0,135
456000.0,Saúde,2.0,1.0,64
350000.0,Jabaquara,2.0,1.0,50
6500000.0,Itaim Bibi,,,330
595000.0,Saúde,3.0,1.0,87
450000.0,Saúde,2.0,1.0,60
530000.0,Saúde,2.0,2.0,58
163447.0,Vila Andrade,2.0,,43
389000.0,Ipiranga,1.0,1.0,45
450000.0,Saúde,2.0,1.0,74
360000.0,Saúde,1.0,1.0,37
1451583.0,Vila Mariana,3.0,,140
605000.0,Saúde,2.0,3.0,55
2950000.0,Itaim Bibi,1.0,1.0,90
495000.0,Saúde,3.0,1.0,79
520000.0,Pacaembu,1.0,,50
550000.0,Saúde,2.0,2.0,85
549900.0,Saúde,2.0,2.0,55
600000.0,Saúde,3.0,2.0,84
5042000.0,Indianópolis,4.0,,278
790000.0,Saúde,4.0,4.0,135
456000.0,Saúde,2.0,1.0,64
350000.0,Jabaquara,2.0,1.0,50
6500000.0,Itaim Bibi,,,330
595000.0,Saúde,3.0,1.0,87
450000.0,Saúde,2.0,1.0,60
530000.0,Saúde,2.0,2.0,58
163447.0,Vila Andrade,2.0,,43
389000.0,Ipiranga,1.0,1.0,45
450000.0,Saúde,2.0,1.0,74
360000.0,Saúde,1.0,1.0,37
1451583.0,Vila Mariana,3.0,,140
605000.0,Saúde,2.0,3.0,55
2950000.0,Itaim Bibi,1.0,1.0,90
495000.0,Saúde,3.0,1.0,79
520000.0,Pacaembu,1.0,,50
550000.0,Saúde,2.0,2.0,85
549900.0,Saúde,2.0,2.0,55
600000.0,Saúde,3.0,2.0,84
5042000.0,Indianópolis,4.0,,278
585000.0,Saúde,2.0,2.0,66
500000.0,Saúde,2.0,2.0,52
480000.0,Saúde,2.0,2.0,58
480500.0,Morumbi,2.0,,69
760000.0,Saúde,3.0,3.0,84
428000.0,Saúde,1.0,1.0,57
900000.0,Saúde,4.0,4.0,116
1078700.0,Lapa,4.0,,134
710000.0,Saúde,2.0,2.0,70
730000.0,Saúde,3.0,2.0,72
450000.0,Saúde,2.0,1.0,55
360100.0,Tatuapé,2.0,,47
435000.0,Saúde,2.0,2.0,60
480000.0,Saúde,2.0,2.0,60
650000.0,Saúde,3.0,2.0,85
381700.0,Brás,2.0,,57
600000.0,Saúde,3.0,2.0,68
900000.0,Saúde,4.0,5.0,144
570000.0,Saúde,2.0,2.0,75
440000.0,Barra Funda,2.0,,61
410000.0,Mirandópolis,2.0,1.0,50
480000.0,Saúde,2.0,2.0,65
498000.0,Saúde,2.0,2.0,70
251800.0,Vila Maria,1.0,,50
410000.0,Saúde,2.0,3.0,55
1349000.0,Saúde,3.0,5.0,123
480000.0,Saúde,2.0,2.0,68
217200.0,Pirituba,2.0,,43
545000.0,Saúde,3.0,2.0,75
370000.0,Saúde,2.0,2.0,61
450000.0,Saúde,2.0,2.0,55
207746.0,Pirituba,2.0,,43
535000.0,Saúde,3.0,3.0,85
660000.0,Saúde,3.0,2.0,73
300000.0,Moema,1.0,1.0,37
218230.0,Pirituba,2.0,,43
405000.0,Jardins,1.0,1.0,45
320000.0,Moema,1.0,1.0,37
370000.0,Moema,1.0,1.0,37
215000.0,Interlagos,2.0,,34
530000.0,Jardins,1.0,1.0,40
380000.0,Jardins,1.0,1.0,45
330000.0,Jardins,1.0,1.0,32
225000.0,Cambuci,1.0,,34
350000.0,Saúde,2.0,1.0,50
375000.0,Saúde,2.0,1.0,50
665000.0,Saúde,3.0,1.0,98
567600.0,Butantã,2.0,,50
460000.0,Saúde,2.0,1.0,57
410000.0,Saúde,2.0,1.0,54
640000.0,Jardins,1.0,1.0,41
999000.0,Moema,2.0,,71
460000.0,Mirandópolis,2.0,2.0,65
375000.0,Mirandópolis,1.0,1.0,40
310000.0,Saúde,1.0,1.0,42
1260000.0,Brooklin,,,137
530000.0,Saúde,3.0,2.0,79
330000.0,Saúde,1.0,1.0,33
550000.0,Saúde,2.0,2.0,60
880000.0,Pinheiros,1.0,,75
1550000.0,Paraíso,3.0,4.0,185
695000.0,Saúde,3.0,2.0,74
486000.0,Saúde,2.0,1.0,52
377600.0,Vila Madalena,1.0,,25
420000.0,Saúde,2.0,1.0,55
450000.0,Saúde,2.0,1.0,48
720000.0,Saúde,3.0,2.0,72
799000.0,Vila Andrade,3.0,,104
335000.0,Mirandópolis,1.0,1.0,46
375000.0,Saúde,2.0,1.0,50
820000.0,Saúde,2.0,3.0,97
216000.0,Vila Mascote,1.0,,34
600000.0,Saúde,3.0,2.0,79
390000.0,Saúde,2.0,2.0,55
850000.0,Saúde,3.0,4.0,107
663000.0,Morumbi,2.0,,62
660000.0,Saúde,3.0,2.0,98
399000.0,Saúde,2.0,2.0,62
490000.0,Ipiranga,3.0,1.0,61
212000.0,Vila Leopoldina,1.0,,
830000.0,Saúde,3.0,5.0,117
535000.0,Saúde,2.0,2.0,81
742000.0,Saúde,4.0,4.0,133
240000.0,Jardim Aricanduva,2.0,,
370000.0,Jabaquara,3.0,1.0,71
590000.0,Saúde,3.0,2.0,85
580000.0,Saúde,3.0,2.0,70
403400.0,Jardim Prudência,3.0,,69
651000.0,Ipiranga,2.0,1.0,69
750000.0,Ipiranga,3.0,1.0,105
640000.0,Mirandópolis,3.0,2.0,96
393650.0,Vila Madalena,,,24
482000.0,Saúde,2.0,3.0,55
740000.0,Ipiranga,2.0,2.0,67
450000.0,Saúde,2.0,2.0,64
1150800.0,Campo Belo,3.0,,100
550000.0,São Judas,2.0,2.0,62
765000.0,São Judas,3.0,3.0,87
980000.0,São Judas,4.0,4.0,108
387900.0,Vila Mascote,2.0,,49
550000.0,São Judas,2.0,2.0,71
690000.0,São Judas,3.0,3.0,86
380000.0,São Judas,2.0,3.0,62
2058300.0,Vila Madalena,4.0,,149
3500000.0,Higienópolis,4.0,5.0,350
360011.0,Brás,2.0,1.0,57
1350000.0,Higienópolis,3.0,3.0,150
1512200.0,Vila Leopoldina,4.0,,140
540000.0,Higienópolis,2.0,1.0,90
1060000.0,Higienópolis,2.0,2.0,118
620000.0,Vila Mariana,2.0,2.0,70
1250000.0,Jardim América,3.0,,70
640000.0,Saúde,3.0,3.0,78
850000.0,Vila Mariana,3.0,3.0,119
480000.0,Saúde,2.0,2.0,80
520000.0,Tatuapé,2.0,,69
415000.0,Santa Cecília,1.0,1.0,50
560000.0,Vila Olímpia,1.0,1.0,35
995000.0,Vila Olímpia,1.0,1.0,101
335275.0,Santana,3.0,,58
720000.0,Vila Mariana,2.0,2.0,65
855000.0,Vila Mariana,3.0,2.0,92
730000.0,Vila Mariana,3.0,3.0,77
381900.0,Mooca,3.0,,59
640000.0,Jardim Paulista,1.0,1.0,40
900000.0,Jardim Paulista,2.0,1.0,75
730000.0,Jardim Paulista,2.0,1.0,60
190000.0,Guaianazes,2.0,,50
6390000.0,Vila Olímpia,4.0,1.0,274
2250000.0,Itaim Bibi,3.0,3.0,210
750000.0,Vila Mariana,3.0,3.0,72
219624.0,Pirituba,2.0,,43
770000.0,Vila Mariana,3.0,1.0,85
460000.0,Vila Clementino,1.0,2.0,45
