,0
0,convencional
1,convencional
2,orgânico
3,convencional
4,convencional
5,orgânico
6,orgânico
7,orgânico
8,orgânico
9,orgânico
10,orgânico
11,orgânico
12,convencional
13,orgânico
14,convencional
15,orgânico
16,convencional
17,convencional
18,convencional
19,orgânico
20,orgânico
21,orgânico
22,convencional
23,orgânico
24,orgânico
25,orgânico
26,orgânico
27,convencional
28,orgânico
29,convencional
30,convencional
31,orgânico
32,convencional
33,convencional
34,orgânico
35,orgânico
36,orgânico
37,convencional
38,orgânico
39,convencional
40,orgânico
41,orgânico
42,orgânico
43,orgânico
44,convencional
45,orgânico
46,orgânico
47,orgânico
48,orgânico
49,convencional
50,orgânico
51,convencional
52,convencional
53,convencional
54,orgânico
55,convencional
56,convencional
57,convencional
58,convencional
59,convencional
60,orgânico
61,orgânico
62,orgânico
63,convencional
64,convencional
65,orgânico
66,convencional
67,convencional
68,convencional
69,orgânico
70,orgânico
71,convencional
72,convencional
73,orgânico
74,orgânico
75,convencional
76,convencional
77,orgânico
78,convencional
79,convencional
80,orgânico
81,convencional
82,orgânico
83,convencional
84,orgânico
85,convencional
86,convencional
87,orgânico
88,orgânico
89,convencional
90,convencional
91,orgânico
92,convencional
93,orgânico
94,convencional
95,convencional
96,orgânico
97,orgânico
98,convencional
99,orgânico
100,orgânico
101,convencional
102,orgânico
103,convencional
104,orgânico
105,convencional
106,orgânico
107,orgânico
108,orgânico
109,orgânico
110,orgânico
111,orgânico
112,orgânico
113,orgânico
114,convencional
115,convencional
116,convencional
117,orgânico
118,convencional
119,orgânico
120,convencional
121,orgânico
122,orgânico
123,orgânico
124,orgânico
125,convencional
126,convencional
127,convencional
128,orgânico
129,orgânico
130,orgânico
131,orgânico
132,convencional
133,convencional
134,convencional
135,orgânico
136,orgânico
137,convencional
138,orgânico
139,orgânico
140,orgânico
141,convencional
142,orgânico
143,convencional
144,orgânico
145,convencional
146,orgânico
147,orgânico
148,convencional
149,orgânico
150,orgânico
151,convencional
152,orgânico
153,orgânico
154,convencional
155,convencional
156,convencional
157,orgânico
158,convencional
159,convencional
160,convencional
161,convencional
162,orgânico
163,orgânico
164,convencional
165,convencional
166,orgânico
167,orgânico
168,convencional
169,orgânico
170,orgânico
171,orgânico
172,convencional
173,orgânico
174,convencional
175,orgânico
176,orgânico
177,orgânico
178,orgânico
179,orgânico
180,orgânico
181,orgânico
182,convencional
183,convencional
184,convencional
185,convencional
186,orgânico
187,convencional
188,convencional
189,convencional
190,convencional
191,convencional
192,convencional
193,convencional
194,orgânico
195,orgânico
196,orgânico
197,convencional
198,orgânico
199,convencional
200,convencional
201,orgânico
202,convencional
203,convencional
204,orgânico
205,convencional
206,convencional
207,convencional
208,orgânico
209,orgânico
210,orgânico
211,convencional
212,convencional
213,orgânico
214,orgânico
215,convencional
216,orgânico
217,orgânico
218,convencional
219,convencional
220,orgânico
221,convencional
222,convencional
223,orgânico
224,orgânico
225,convencional
226,convencional
227,convencional
228,orgânico
229,convencional
230,convencional
231,convencional
232,convencional
233,convencional
234,orgânico
235,convencional
236,orgânico
237,convencional
238,orgânico
239,orgânico
240,orgânico
241,orgânico
242,convencional
243,orgânico
244,convencional
245,orgânico
246,orgânico
247,convencional
248,convencional
249,convencional
250,convencional
251,convencional
252,convencional
253,convencional
254,convencional
255,convencional
256,orgânico
257,orgânico
258,convencional
259,convencional
260,convencional
261,convencional
262,convencional
263,orgânico
264,orgânico
265,orgânico
266,convencional
267,convencional
268,convencional
269,convencional
270,orgânico
271,orgânico
272,orgânico
273,convencional
274,convencional
275,convencional
276,convencional
277,orgânico
278,orgânico
279,orgânico
280,orgânico
281,convencional
282,orgânico
283,orgânico
284,convencional
285,orgânico
286,orgânico
287,orgânico
288,convencional
289,orgânico
290,convencional
291,convencional
292,orgânico
293,orgânico
294,convencional
295,orgânico
296,orgânico
297,orgânico
298,orgânico
299,orgânico
300,convencional
301,orgânico
302,convencional
303,orgânico
304,orgânico
305,convencional
306,orgânico
307,orgânico
308,convencional
309,orgânico
310,convencional
311,orgânico
312,convencional
313,convencional
314,convencional
315,convencional
316,orgânico
317,orgânico
318,orgânico
319,convencional
320,convencional
321,orgânico
322,orgânico
323,orgânico
324,convencional
325,orgânico
326,orgânico
327,convencional
328,convencional
329,convencional
330,orgânico
331,orgânico
332,orgânico
333,convencional
334,orgânico
335,orgânico
336,convencional
337,orgânico
338,convencional
339,convencional
340,orgânico
341,orgânico
342,orgânico
343,convencional
344,convencional
345,orgânico
346,orgânico
347,convencional
348,orgânico
349,orgânico
350,orgânico
351,convencional
352,convencional
353,convencional
354,convencional
355,convencional
356,orgânico
357,orgânico
358,orgânico
359,convencional
360,convencional
361,convencional
362,orgânico
363,orgânico
364,orgânico
365,convencional
366,orgânico
367,convencional
368,orgânico
369,convencional
370,orgânico
371,convencional
372,convencional
373,orgânico
374,convencional
375,convencional
376,orgânico
377,orgânico
378,convencional
379,orgânico
380,orgânico
381,orgânico
382,orgânico
383,convencional
384,convencional
385,convencional
386,orgânico
387,orgânico
388,convencional
389,convencional
390,orgânico
391,orgânico
392,convencional
393,orgânico
394,convencional
395,convencional
396,convencional
397,convencional
398,convencional
399,orgânico
400,convencional
401,convencional
402,orgânico
403,convencional
404,convencional
405,orgânico
406,convencional
407,orgânico
408,orgânico
409,convencional
410,orgânico
411,orgânico
412,convencional
413,orgânico
414,orgânico
415,orgânico
416,convencional
417,orgânico
418,convencional
419,convencional
420,convencional
421,convencional
422,convencional
423,convencional
424,convencional
425,orgânico
426,orgânico
427,orgânico
428,orgânico
429,orgânico
430,orgânico
431,convencional
432,convencional
433,orgânico
434,orgânico
435,orgânico
436,orgânico
437,convencional
438,convencional
439,orgânico
440,orgânico
441,orgânico
442,convencional
443,orgânico
444,convencional
445,convencional
446,convencional
447,orgânico
448,convencional
449,convencional
450,orgânico
451,convencional
452,convencional
453,orgânico
454,convencional
455,convencional
456,convencional
457,convencional
458,orgânico
459,convencional
460,convencional
461,orgânico
462,orgânico
463,convencional
464,convencional
465,orgânico
466,convencional
467,convencional
468,convencional
469,orgânico
470,orgânico
471,convencional
472,orgânico
473,orgânico
474,orgânico
475,convencional
476,convencional
477,convencional
478,convencional
479,convencional
480,orgânico
481,convencional
482,orgânico
483,orgânico
484,convencional
485,convencional
486,convencional
487,orgânico
488,orgânico
489,orgânico
490,orgânico
491,convencional
492,orgânico
493,convencional
494,orgânico
495,orgânico
496,orgânico
497,convencional
498,convencional
499,orgânico
500,orgânico
501,convencional
502,orgânico
503,convencional
504,orgânico
505,convencional
506,orgânico
507,convencional
508,convencional
509,convencional
510,orgânico
511,orgânico
512,convencional
513,orgânico
514,orgânico
515,convencional
516,orgânico
517,convencional
518,orgânico
519,orgânico
520,orgânico
521,convencional
522,convencional
523,convencional
524,convencional
525,convencional
526,orgânico
527,convencional
528,orgânico
529,convencional
530,orgânico
531,convencional
532,orgânico
533,orgânico
534,convencional
535,orgânico
536,orgânico
537,convencional
538,convencional
539,orgânico
540,orgânico
541,convencional
542,convencional
543,orgânico
544,convencional
545,convencional
546,orgânico
547,convencional
548,convencional
549,orgânico
550,orgânico
551,convencional
552,convencional
553,orgânico
554,orgânico
555,convencional
556,orgânico
557,convencional
558,orgânico
559,orgânico
560,orgânico
561,convencional
562,convencional
563,convencional
564,convencional
565,convencional
566,orgânico
567,convencional
568,orgânico
569,convencional
570,orgânico
571,convencional
572,orgânico
573,orgânico
574,convencional
575,orgânico
576,orgânico
577,convencional
578,convencional
579,convencional
580,orgânico
581,convencional
582,convencional
583,convencional
584,orgânico
585,orgânico
586,convencional
587,convencional
588,convencional
589,convencional
590,orgânico
591,orgânico
592,orgânico
593,convencional
594,orgânico
595,convencional
596,convencional
597,convencional
598,convencional
599,orgânico
600,orgânico
601,orgânico
602,orgânico
603,convencional
604,orgânico
605,convencional
606,convencional
607,orgânico
608,orgânico
609,convencional
610,orgânico
611,orgânico
612,convencional
613,convencional
614,convencional
615,convencional
616,orgânico
617,orgânico
618,convencional
619,orgânico
620,orgânico
621,orgânico
622,orgânico
623,orgânico
624,orgânico
625,orgânico
626,orgânico
627,orgânico
628,orgânico
629,orgânico
630,orgânico
631,convencional
632,convencional
633,convencional
634,convencional
635,convencional
636,orgânico
637,orgânico
638,convencional
639,convencional
640,orgânico
641,orgânico
642,convencional
643,orgânico
644,orgânico
645,orgânico
646,orgânico
647,orgânico
648,convencional
649,orgânico
650,orgânico
651,orgânico
652,convencional
653,orgânico
654,orgânico
655,convencional
656,convencional
657,orgânico
658,orgânico
659,orgânico
660,orgânico
661,convencional
662,convencional
663,convencional
664,convencional
665,orgânico
666,convencional
667,orgânico
668,orgânico
669,orgânico
670,convencional
671,orgânico
672,convencional
673,convencional
674,orgânico
675,orgânico
676,convencional
677,convencional
678,orgânico
679,convencional
680,convencional
681,convencional
682,convencional
683,orgânico
684,convencional
685,convencional
686,orgânico
687,orgânico
688,orgânico
689,orgânico
690,orgânico
691,orgânico
692,convencional
693,convencional
694,convencional
695,convencional
696,orgânico
697,convencional
698,orgânico
699,convencional
700,convencional
701,convencional
702,convencional
